YYYY,MM,DD,HH24,MI format in Local standard time,Air Temperature in degrees C,Relative humidity in percentage %,Wind speed in km/h
2018,1,15,5,0,14.1,83,17
2018,1,15,5,30,14,87,17
2018,1,15,6,0,13.9,89,15
2018,1,15,6,30,14.3,89,17
2018,1,15,7,0,14.9,84,17
2018,1,15,7,30,15.1,91,22
2018,1,15,8,0,16.3,82,21
2018,1,15,8,30,18,74,24
2018,1,15,9,0,18.9,72,26
2018,1,15,9,30,18.6,69,24
2018,1,15,10,0,19.4,62,26
2018,1,15,10,30,20.2,57,30
2018,1,15,11,0,19.6,56,28
2018,1,15,11,30,19.1,65,30
2018,1,15,12,0,19.8,64,28
2018,1,15,12,30,18.9,69,22
2018,1,15,13,0,18.4,78,28
2018,1,15,13,30,17.5,88,24
2018,1,15,14,0,19.7,68,26
2018,1,15,14,30,20,66,30
2018,1,15,15,0,20.9,66,30
2018,1,15,15,30,20.1,63,30
2018,1,15,16,0,19.6,64,30
2018,1,15,16,30,19.7,60,31
2018,1,15,17,0,19.4,60,30
2018,1,15,17,30,19,59,33
2018,1,15,18,0,17.3,65,26
2018,1,15,18,30,18.1,58,28
2018,1,15,19,0,16.8,63,26
2018,1,15,19,30,16.2,65,21
2018,1,15,20,0,16.7,61,21
2018,1,15,20,30,16.7,64,18
2018,1,15,21,0,16.4,64,22
2018,1,15,21,30,16.4,65,21
2018,1,15,22,0,16.1,65,18
2018,1,15,22,30,15.9,67,15
2018,1,15,23,0,15.8,69,13
2018,1,15,23,30,15.6,70,11
2018,1,16,0,0,15,69,13
2018,1,16,0,30,14.2,73,11
2018,1,16,1,0,13.2,78,8
2018,1,16,1,30,12,86,9
2018,1,16,2,0,12.1,88,11
2018,1,16,2,30,11.2,90,9
2018,1,16,3,0,11.4,89,5
2018,1,16,3,30,11.7,88,8
2018,1,16,4,0,12.2,89,13
2018,1,16,4,30,11.9,89,13
